contactType,Federal Agency,Sub Agency,unique id,is_cfo
Federal Organization,Department of Commerce,National Institute of Standards and Technology,nist.gov,Y
Federal Organization,Department of Justice,Office of Legal Counsel,olc.usdoj.gov,Y
Federal Organization,Department of State,,state.gov,Y
Federal Organization,Department of Justice,Bureau of Justice Statistics,bjs.usdoj.gov,Y
Federal Organization,Department of the Treasury,Departmental Offices,do.treas.gov,Y
Federal Organization,Department of the Interior,Federal Geographic Data Committee,fgdc.gov,Y
Federal Organization,Information Sharing Environment,,ise.gov ,N
Federal Organization,Department of Health and Human Services,National Institute on Drug Abuse,nlm.nih.gov,Y
Federal Organization,Executive Office of the President,Office of Management and Budget,omb.eop.gov,N
Federal Organization,Department of Transportation,Surface Transportation Board,stb.dot.gov,Y
Federal Organization,Department of the Interior,Bureau of Land Management,blm.gov,Y
Federal Organization,Department of Commerce,,doc.gov,Y
Federal Organization,Department of Transportation,Federal Highway Administration,fha.dot.gov,Y
Federal Organization,Department of Transportation,Maritime Administration,ma.dot.gov,Y
Federal Organization,National Labor Relations Board,,nlrb.gov,N
Federal Organization,Executive Office of the President,Office of National Drug Control Policy,ondcp.eop.gov,N
Federal Organization,Department of Agriculture,Rural Development,stl.usda.gov,Y
Federal Organization,Department of Labor,Bureau of Labor Statistics,bls.gov,Y
Federal Organization,Department of Defense,,dod.gov,Y
Federal Organization,Federal Housing Finance Agency,,fhfa.gov,N
Federal Organization,Department of Commerce,Minority Business Development Agency,mbda.doc.gov,N
Federal Organization,Millenium Challenge Corporation,,mcc.gov,N
Federal Organization,Department of Commerce,National Oceanic and Atmospheric Administration,noaa.gov,Y
Federal Organization,Office of Navajo and Hopi Indian Relocation,,onhir.gov,N
Federal Organization,Department of Commerce,International Trade Administration,trade.gov,Y
Federal Organization,Department of the Interior,Bureau of Ocean Energy Management,boem.gov,Y
Federal Organization,Department of Energy,,doe.gov,Y
Federal Organization,Department of the Treasury,Financial Crimes Enforcement Network,fincen.gov,Y
Federal Organization,Department of the Treasury,United States Mint,mint.treas.gov,Y
Federal Organization,Department of the Interior,National Park Service,nps.gov,Y
Federal Organization,Department of Education,Office of Postsecondary Education,ope.ed.gov,Y
Federal Organization,Department of the Treasury,,treasury.gov,Y
Federal Organization,Department of Justice,Bureau of Prison,bop.doj.gov,Y
Federal Organization,Department of the Interior,,doi.gov,Y
Federal Organization,Federal Labor Relations Authority,,flra.gov,N
Federal Organization,Department of Labor,Mine Safety and Health Administration,msha.dol.gov,Y
Federal Organization,Nuclear Regulatory Commission,,nrc.gov,Y
Federal Organization,General Services Administration,Office of Performance Improvement,opi.gsa.gov,Y
Federal Organization,Department of the Treasury,The Alcohol and Tobacco Tax and Trade Bureau,ttb.treas.gov,Y
Federal Organization,Department of the Treasury,Bureau of the Public Debt,bpd.treas.gov,Y
Federal Organization,Department of Justice,,doj.gov,Y
Federal Organization,Federal Maritime Commission,,fmc.gov,N
Federal Organization,Merit Systems Protection Board,,mspb.gov,N
Federal Organization,Department of Agriculture,Natural Resources Conservation Service,nrcs.usda.gov,Y
