Id,URI,Language,Name,Source_Url,Street1,City,StateTer,Zip,Phone/0,CFO_Agency,Fed_Branch,Contact_Url/0/Url,Contact_Url/0/Description,Contact_Url/0/Language,Contact_Url/1/Url,Contact_Url/1/Description,Contact_Url/1/Language,Contact_Url/2/Url,Contact_Url/2/Description,Contact_Url/2/Language,Contact_Url/3/Url,Contact_Url/3/Description,Contact_Url/3/Language,Contact_Url/4/Url,Contact_Url/4/Description,Contact_Url/4/Language,Contact_Url/5/Url,Contact_Url/5/Description,Contact_Url/5/Language,Contact_Url/6/Url,Contact_Url/6/Description,Contact_Url/6/Language,Web_Url/0/Url,Web_Url/0/Description,Web_Url/0/Language,In_Person_Url/0/Url,In_Person_Url/0/Description,In_Person_Url/0/Language,In_Person_Url/1/Url,In_Person_Url/1/Description,In_Person_Url/1/Language,In_Person_Url/2/Url,In_Person_Url/2/Description,In_Person_Url/2/Language,Description,Parent/Id,Parent/URI,Parent/Name,Child/0/Id,Child/0/URI,Child/0/Name,Child/1/Id,Child/1/URI,Child/1/Name,Child/2/Id,Child/2/URI,Child/2/Name,Alt_Language/0/Id,Alt_Language/0/URI,Alt_Language/0/Name,Alt_Language/0/Language,Tollfree/0,Email
47994,null/api/USAGovAPI/contacts.json/contact/47994,en,Administration for Children and Families (ACF),http://www.usa.gov/directory/federal/administration-for-children--families.shtml,"370 L'Enfant Promenade, SW",Washington,DC,20447,1-202-401-9200,No,EXEC,http://www.acf.hhs.gov/about,Contact the Administration for Children and Families (ACF),en,http://www.acf.hhs.gov/programs/css/resource/state-and-tribal-child-support-agency-contacts,Child Support,en,http://www.acf.hhs.gov/programs/ofa/help,Temporary Assistance for Needy Families (Welfare),en,http://www.childwelfare.gov/pubs/reslist/rl_dsp.cfm?rs_id=5&rate_chno=11-11172,Report Child Abuse and Neglect,en,http://www.acf.hhs.gov/programs/ocs/programs/liheap,Low Income Home Energy Assistance Program (LIHEAP),en,http://www.acf.hhs.gov/programs/ocs/liheap-state-and-territory-contact-listing,LIHEAP State and Territory Contacts (Energy Cost),en,http://www.acf.hhs.gov/programs/ocs/liheap-tribal-contact-listing,LIHEAP Tribal Contacts (Energy Cost),en,http://www.acf.hhs.gov/,Administration for Children and Families (ACF),en,http://eclkc.ohs.acf.hhs.gov/hslc/HeadStartOffices,Head Start Program Locator,en,http://www.acf.hhs.gov/programs/cse/extinf.html,Child Support Enforcement in Your State,en,http://www.acf.hhs.gov/programs/oro,Contact Regional Offices,en,"The ACF funds state, territory, local, and tribal organizations to provide family assistance (welfare), child support, child care, Head Start, child welfare, and other programs relating to children and families.",49021,null/api/USAGovAPI/contacts.json/contact/49021,U.S. Department of Health and Human Services (HHS),49064,null/api/USAGovAPI/contacts.json/contact/49064,Administration for Native Americans,49066,null/api/USAGovAPI/contacts.json/contact/49066,Administration on Developmental Disabilities,49588,null/api/USAGovAPI/contacts.json/contact/49588,Office of Refugee Resettlement,50101,null/api/USAGovAPI/contacts.json/contact/50101,Administración de Asuntos de Niños y Familias,es,,
47995,null/api/USAGovAPI/contacts.json/contact/47995,en,Administration on Aging (AoA),http://www.usa.gov/directory/federal/administration-on-aging.shtml,"One Massachusetts Avenue, NW",Washington,DC,20001,1-202-619-0724,No,EXEC,http://acl.gov/About_ACL/Contact_Us/Index.aspx,Contact the Administration on Aging (AoA),en,,,,,,,,,,,,,,,,,,,http://www.aoa.gov/,Administration on Aging (AoA),en,http://www.eldercare.gov/,Find Administration on Aging (AoA) Offices Near You,en,,,,,,,"The Administration on Aging is the Federal focal point and advocate agency for older persons and their concerns. In this role, the Administration on Aging works to heighten awareness among other Federal agencies, organizations, groups, and the public about the valuable contributions that older Americans make to the nation. The Administration also alerts others to the needs of vulnerable older people. Through information, referral and outreach efforts at the community level, the Administration seeks to educate older people and their caregivers about the benefits and services available to help them.",91836,null/api/USAGovAPI/contacts.json/contact/91836,Administration for Community Living,,,,,,,,,,50162,null/api/USAGovAPI/contacts.json/contact/50162,Administración de Asuntos sobre la Vejez,es,1-800-677-1116 (to find local resources),aoainfo@aoa.hhs.gov</br>aclinfo@acl.hhs.gov
47996,null/api/USAGovAPI/contacts.json/contact/47996,en,AIDS.gov,http://www.usa.gov/directory/federal/aidsgov.shtml,"200 Independence Ave., SW",Washington,DC,20201,,No,EXEC,,,,,,,,,,,,,,,,,,,,,,http://www.aids.gov/,AIDS.gov,en,,,,,,,,,,AIDS.gov works to increase HIV testing and care among people at-risk for living with HIV.,49021,null/api/USAGovAPI/contacts.json/contact/49021,U.S. Department of Health and Human Services (HHS),,,,,,,,,,50211,null/api/USAGovAPI/contacts.json/contact/50211,infoSIDA,es,,info@cdcnpin.org
48005,null/api/USAGovAPI/contacts.json/contact/48005,en,Bureau of the Census,http://www.usa.gov/directory/federal/bureau-of-the-census.shtml,4600 Silver Hill Road,Washington,DC,20233,1-301-763-4636,No,EXEC,http://www.census.gov/aboutus/contacts.html,Contact the Bureau of the Census,en,,,,,,,,,,,,,,,,,,,http://www.census.gov,Bureau of the Census,en,,,,,,,,,,The U.S. Census Bureau provides data about the nation's people and economy.,52668,null/api/USAGovAPI/contacts.json/contact/52668,U.S. Department of Commerce (DOC),,,,,,,,,,50056,null/api/USAGovAPI/contacts.json/contact/50056,Oficina del Censo,es,1-800-923-8282,
48006,null/api/USAGovAPI/contacts.json/contact/48006,en,Bureau of the Public Debt,http://www.usa.gov/directory/federal/bureau-of-the-public-debt.shtml,PO Box 7015,Parkersburg,WV,26106-7015,,No,EXEC,http://www.publicdebt.treas.gov/contact_us.htm,Contact the Bureau of the Public Debt,en,,,,,,,,,,,,,,,,,,,http://www.publicdebt.treas.gov/,Bureau of the Public Debt,en,,,,,,,,,,This agency borrows moneys to make sure that the federal government continues to operate. You can contact them to purchase bonds or to check on the maturity of bonds you have already purchased.,49034,null/api/USAGovAPI/contacts.json/contact/49034,U.S. Department of the Treasury,,,,,,,,,,,,,,1-800-722-2678,
48007,null/api/USAGovAPI/contacts.json/contact/48007,en,CDC National STD Hotline,http://www.usa.gov/directory/federal/cdc-national-std-hotline.shtml,,,AK,,,No,EXEC,,,,,,,,,,,,,,,,,,,,,,http://www.cdc.gov/std,CDC National STD Hotline,en,,,,,,,,,,,49021,null/api/USAGovAPI/contacts.json/contact/49021,U.S. Department of Health and Human Services (HHS),,,,,,,,,,50205,null/api/USAGovAPI/contacts.json/contact/50205,Línea Nacional de Prevención de Enfermedades de Transmisión Sexual (ETS),es,1-800-232-4636 (24 hrs. in English and Spanish),cdcinfo@cdc.gov
48012,null/api/USAGovAPI/contacts.json/contact/48012,en,Center for Nutrition Policy and Promotion (CNPP),http://www.usa.gov/directory/federal/center-for-nutrition-policy-and-promotion.shtml,"3101 Park Center Dr., 10th Floor",Alexandria,VA,22302-1594,703-305-7600,,,http://www.cnpp.usda.gov/contacts,Contact the Center for Nutrition Policy and Promotion (CNPP),en,,,,,,,,,,,,,,,,,,,http://www.cnpp.usda.gov/,Center for Nutrition Policy and Promotion (CNPP),en,,,,,,,,,,The USDA Center for Nutrition Policy and Promotion (CNPP) works to improve the health and well-being of Americans by developing and promoting dietary guidance that links scientific research to the nutrition needs of consumers.,49015,null/api/USAGovAPI/contacts.json/contact/49015,U.S. Department of Agriculture (USDA),,,,,,,,,,,,,,,
48013,null/api/USAGovAPI/contacts.json/contact/48013,en,Centers for Disease Control and Prevention (CDC),http://www.usa.gov/directory/federal/centers-for-disease-control-and-prevention.shtml,1600 Clifton Road,Atlanta,GA,30333,,No,EXEC,http://www.cdc.gov/netinfo.htm,Contact the Centers for Disease Control and Prevention (CDC),en,http://www.cdc.gov/outbreaknet/reportillness.html,Report Foodborne Illness,en,,,,,,,,,,,,,,,,http://www.cdc.gov/,Centers for Disease Control and Prevention (CDC),en,,,,,,,,,,"CDC collaborates to create the expertise, information, and tools that people and communities need to protect their health through health promotion, prevention of disease, injury and disability, and preparedness for new health threats.",49021,null/api/USAGovAPI/contacts.json/contact/49021,U.S. Department of Health and Human Services (HHS),49076,null/api/USAGovAPI/contacts.json/contact/49076,Agency for Toxic Substances and Disease Registry,52681,null/api/USAGovAPI/contacts.json/contact/52681,National Institute of Occupational Safety and Health,,,,50055,null/api/USAGovAPI/contacts.json/contact/50055,Centros para el Control y la Prevención de Enfermedades &ndash, CDC,es,1-800-232-4636 (24 hrs./7 days a week)
48016,null/api/USAGovAPI/contacts.json/contact/48016,en,Child Welfare Information Gateway,http://www.usa.gov/directory/federal/child-welfare-information-gateway.shtml,"1250 Mayland Ave., SW, 8th Floor",Washington,DC,20024,,No,EXEC,,,,,,,,,,,,,,,,,,,,,,http://www.childwelfare.gov,Child Welfare Information Gateway,en,,,,,,,,,,Child Welfare Information Gateway connects child welfare and related professionals to comprehensive information and resources to help protect children and strengthen families.,49021,null/api/USAGovAPI/contacts.json/contact/49021,U.S. Department of Health and Human Services (HHS),,,,,,,,,,50199,null/api/USAGovAPI/contacts.json/contact/50199,Centro de Información sobre el Bienestar de Menores,es,"1-800-394-3366 (8:30 am - 5:30 pm, ET)",info@childwelfare.gov
48018,null/api/USAGovAPI/contacts.json/contact/48018,en,Commission on Civil Rights,http://www.usa.gov/directory/federal/commission-on-civil-rights.shtml,"624 9th St., NW",Washington,DC,20425,202-376-7700</ br>(202) 376-8513 (Complaint Referrals),,,http://www.usccr.gov/contact/contndx.htm,Contact the Commission on Civil Rights,en,,,,,,,,,,,,,,,,,,,http://www.usccr.gov,Commission on Civil Rights,en,,,,,,,,,,"The U.S. Commission on Civil Rights is an independent, bipartisan agency charged with monitoring federal civil rights enforcement.",,,,,,,,,,,,,50064,null/api/USAGovAPI/contacts.json/contact/50064,Comisión de Derechos Civiles de Estados Unidos,es,1-800-552-6843 (Complaint Referrals),referrals@usccr.gov
